Date,Open,High,Low,Close
"Aug 5, 2021",238.67,240.32,237.14,238.21
"Aug 6, 2021",237.3,238.78,232.54,233.03
"Aug 9, 2021",236.72,239.68,235.04,237.92
"Aug 10, 2021",238,238.86,233.96,236.66
"Aug 11, 2021",237.57,238.39,234.74,235.94
"Aug 12, 2021",235.45,240.93,233.13,240.75
"Aug 13, 2021",241.24,243.3,238.11,239.06
"Aug 16, 2021",235.02,236.5,225.47,228.72
"Aug 17, 2021",224.22,224.86,216.28,221.9
"Aug 18, 2021",223.25,231.92,223.12,229.66
"Aug 19, 2021",226.07,228.85,222.53,224.49
"Aug 20, 2021",227.62,230.71,224.57,226.75
"Aug 23, 2021",228.48,237.38,226.92,235.43
"Aug 24, 2021",236.89,238.41,234.21,236.16
"Aug 25, 2021",235.68,238.99,234.67,237.07
"Aug 26, 2021",236.1,238.47,232.54,233.72
"Aug 27, 2021",235,238.33,234.03,237.31
"Aug 30, 2021",238.24,243.67,237.58,243.64
"Aug 31, 2021",244.33,246.8,242.15,245.24
"Sep 1, 2021",244.69,247.33,243.76,244.7
"Sep 2, 2021",244.83,246.99,243.51,244.13
"Sep 3, 2021",244.08,244.67,241.4,244.52
"Sep 7, 2021",246.67,253.4,246.42,250.97
"Sep 8, 2021",253.86,254.82,246.92,251.29
"Sep 9, 2021",251.14,254.03,250.54,251.62
"Sep 10, 2021",253.2,254.2,244.84,245.42
"Sep 13, 2021",246.74,248.26,236.28,247.67
"Sep 14, 2021",247.52,251.49,245.47,248.16
"Sep 15, 2021",248.33,252.29,246.12,251.94
"Sep 16, 2021",250.94,252.97,249.2,252.33
"Sep 17, 2021",252.38,253.68,250,253.16
"Sep 20, 2021",244.85,247.33,239.54,243.39
"Sep 21, 2021",244.93,248.25,243.48,246.46
"Sep 22, 2021",247.84,251.22,246.37,250.65
"Sep 23, 2021",251.67,252.73,249.31,251.21
"Sep 24, 2021",248.63,258.27,248.19,258.13
"Sep 27, 2021",257.71,266.33,256.44,263.79
"Sep 28, 2021",262.4,265.21,255.39,259.19
"Sep 29, 2021",259.93,264.5,256.89,260.44
"Sep 30, 2021",260.33,263.04,258.33,258.49
"Oct 1, 2021",259.47,260.26,254.53,258.41
"Oct 4, 2021",265.5,268.99,258.71,260.51
"Oct 5, 2021",261.6,265.77,258.07,260.2
"Oct 6, 2021",258.73,262.22,257.74,260.92
"Oct 7, 2021",261.82,268.33,261.13,264.54
"Oct 8, 2021",265.4,265.46,260.3,261.83
"Oct 11, 2021",262.55,267.08,261.83,263.98
"Oct 12, 2021",266.98,270.77,265.52,268.57
"Oct 13, 2021",270.16,271.8,268.59,270.36
"Oct 14, 2021",271.83,273.42,271.12,272.77
"Oct 15, 2021",274.58,281.07,274.12,281.01
"Oct 18, 2021",283.93,291.75,283.82,290.04
"Oct 19, 2021",292.51,292.65,287.5,288.09
"Oct 20, 2021",288.45,289.83,285.79,288.6
"Oct 21, 2021",285.33,300,285.17,298
"Oct 22, 2021",298.5,303.33,296.99,303.23
"Oct 25, 2021",316.84,348.34,314.73,341.62
"Oct 26, 2021",341.56,364.98,333.81,339.48
"Oct 27, 2021",346.55,356.96,343.59,345.95
"Oct 28, 2021",356.1,360.33,351.4,359.01
"Oct 29, 2021",360.62,371.74,357.74,371.33
"Nov 1, 2021",381.67,403.25,372.89,402.86
"Nov 2, 2021",386.45,402.86,382,390.67
"Nov 3, 2021",392.44,405.13,384.21,404.62
"Nov 4, 2021",411.47,414.5,405.67,409.97
"Nov 5, 2021",409.33,413.29,402.67,407.36
"Nov 8, 2021",383.26,399,377.67,387.65
"Nov 9, 2021",391.2,391.5,337.17,341.17
"Nov 10, 2021",336.8,359.37,329.1,355.98
"Nov 11, 2021",367.59,368.32,351.56,354.5
"Nov 12, 2021",349.17,351.5,339.73,344.47
"Nov 15, 2021",339.21,343.99,326.2,337.8
"Nov 16, 2021",334.44,352.4,334.06,351.58
"Nov 17, 2021",354.5,373.21,351.83,363
"Nov 18, 2021",368.85,370.67,358.34,365.46
"Nov 19, 2021",366.29,379.57,364.23,379.02
"Nov 22, 2021",387.44,400.65,377.48,385.62
"Nov 23, 2021",389.17,393.5,354.23,369.68
"Nov 24, 2021",360.13,377.59,354,372
